session,subjid,agent,costCond,visibilityCond,resourceCond,counterbalance,ownBPsize,points,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,partnerHelped,partnerHelpingEvents,partnerHelpfulSteps
UNqFOhcB79Jntp,UNqFOhcB79Jntppurple,purple,low,full,even,5.0,4,3377,481.0,84.0,481.0,84.0,17,441,84,True,True,17,87
UNqFOhcB79Jntp,UNqFOhcB79Jntpred,red,low,full,even,5.0,4,3267,499.0,85.0,499.0,85.0,17,463,87,True,True,17,84
US5bIYNPktMeE8,US5bIYNPktMeE8purple,purple,low,self,even,3.0,4,3191,509.0,0.0,509.0,0.0,0,464,0,False,True,2,20
US5bIYNPktMeE8,US5bIYNPktMeE8red,red,low,self,even,3.0,4,2861,573.0,20.0,573.0,20.0,2,534,20,True,False,0,0
Ujdl2K6GeflUWs,Ujdl2K6GeflUWspurple,purple,high,full,uneven,2.0,5,580,547.5,61.0,1064.0,122.0,16,643,77,True,True,2,12
Ujdl2K6GeflUWs,Ujdl2K6GeflUWsred,red,high,full,uneven,2.0,3,1115,504.5,6.0,920.0,12.0,2,456,12,True,True,16,77
UnhhiQvINPhklV,UnhhiQvINPhklVpurple,purple,low,full,uneven,6.0,5,2741,572.0,0.0,572.0,0.0,0,482,0,False,False,0,0
UnhhiQvINPhklV,UnhhiQvINPhklVred,red,low,full,uneven,6.0,3,2181,707.0,0.0,707.0,0.0,0,621,0,False,False,0,0
Uyet9JuJtlLzZb,Uyet9JuJtlLzZbpurple,purple,low,self,even,6.0,4,3070,528.0,17.0,528.0,17.0,4,479,17,True,True,5,18
Uyet9JuJtlLzZb,Uyet9JuJtlLzZbred,red,low,self,even,6.0,4,3174,526.0,18.0,526.0,18.0,5,476,18,True,True,4,17
V1ZNTsuOwNNanU,V1ZNTsuOwNNanUpurple,purple,high,full,uneven,1.0,5,930,495.0,2.0,959.0,4.0,2,487,3,True,True,1,8
V1ZNTsuOwNNanU,V1ZNTsuOwNNanUred,red,high,full,uneven,1.0,3,487,551.0,8.0,1062.0,16.0,1,579,8,True,True,2,3
VNfL7CS9kqaA96,VNfL7CS9kqaA96purple,purple,high,self,even,10.0,4,1176,462.5,10.0,910.0,20.0,2,481,23,True,True,2,22
VNfL7CS9kqaA96,VNfL7CS9kqaA96red,red,high,self,even,10.0,4,990,482.0,22.0,949.0,44.0,2,493,22,True,True,2,23
VVQ14G1K25VOFw,VVQ14G1K25VOFwpurple,purple,low,self,uneven,9.0,3,2515,634.0,0.0,634.0,0.0,0,586,0,False,True,1,9
