session,costCond,visibilityCond,resourceCond,counterbalance,purpleBackpackSize,redBackpackSize,purplePoints,redPoints,step_expense,step_other_expense,energy_expense,other_expense,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps
bSxiPUDOjnyQuF,low,self,even,10.0,4,4,3111,3086,1071.0,0.0,1071.0,0.0,0,970,0,False,False,False,0,0,0,0
bT9iNxrIJUbtdr,high,self,even,0.0,4,4,797,811,1012.0,0.0,1964.0,0.0,0,1004,0,False,False,False,0,0,0,0
bUEUPScS4YLfoK,low,self,uneven,9.0,3,5,2540,3163,1128.0,0.0,1128.0,0.0,0,1046,0,False,False,False,0,0,0,0
bVmYLCYVLxicfd,low,self,uneven,0.0,5,3,3268,2529,1137.0,0.0,1137.0,0.0,0,1030,0,False,False,False,0,0,0,0
bmhBXmNWjwNyti,high,full,uneven,8.0,3,5,401,1206,1014.5,0.0,1984.0,0.0,0,1042,0,False,False,False,0,0,0,0
bqngvoeTJeuWeN,low,self,even,12.0,4,4,3182,2899,1054.0,57.0,1054.0,57.0,7,979,57,True,True,True,3,4,29,28
cAwC1TGSkrbnoj,high,self,even,4.0,4,4,776,346,1131.5,191.0,2106.0,382.0,34,1150,191,True,True,True,11,23,53,138
cQno7de90Nisv8,low,full,even,6.0,4,4,2983,3281,1042.0,101.0,1042.0,101.0,14,965,101,True,True,True,7,7,49,52
cSRsRtAbohj0hL,high,self,uneven,1.0,3,5,1127,1063,990.5,150.0,1858.0,300.0,35,911,157,True,True,True,11,24,41,116
cZ2Vm2T1IneMta,low,full,even,12.0,4,4,3209,3220,1010.0,92.0,1010.0,92.0,19,937,92,True,True,True,10,9,50,42
cea8hSnEkGlya1,low,full,even,0.0,4,4,3071,3083,1091.0,24.0,1091.0,24.0,5,959,24,True,True,True,3,2,11,13
clx9egCH9BD66t,high,full,even,10.0,4,4,972,1093,973.5,25.0,1871.0,50.0,8,952,52,True,True,True,7,1,42,10
d2YvnIb1SzT5XL,high,self,even,0.0,4,4,847,827,988.0,0.0,1946.0,0.0,0,979,0,False,False,False,0,0,0,0
dHW5OLkb8K4Sqd,high,self,even,12.0,4,4,812,827,1000.0,0.0,1955.0,0.0,0,977,0,False,False,False,0,0,0,0
dfrrqJ9CgL6had,high,full,uneven,0.0,5,3,1232,309,1014.5,2.0,1999.0,4.0,2,1047,2,True,True,False,2,0,2,0
dmTiVlq5I8a5zG,low,self,uneven,5.0,5,3,3103,2401,1199.0,6.0,1199.0,6.0,1,1068,6,True,True,False,1,0,6,0
dmejtjxb2oH5lo,low,full,uneven,13.0,3,5,3298,3580,945.0,160.0,945.0,160.0,41,853,160,True,True,True,15,26,55,105
e5Jo6R4H6phjhc,high,self,uneven,2.0,5,3,1141,434,1034.5,28.0,1999.0,56.0,8,1084,36,True,True,True,4,4,21,15
eHJwnNWVTuevGV,low,full,uneven,13.0,3,5,2539,3312,1117.0,45.0,1117.0,45.0,12,1010,45,True,True,True,5,7,25,20
eahENvyR1hEzyy,high,self,even,15.0,4,4,939,846,993.5,18.0,1947.0,36.0,2,993,18,True,True,True,1,1,12,6
eajm87VGaWLtSZ,low,full,even,14.0,4,4,3023,3129,1082.0,0.0,1082.0,0.0,0,972,0,False,False,False,0,0,0,0
ehbYdmt9iiMOvV,high,self,even,5.0,4,4,1368,1372,866.0,69.0,1732.0,138.0,19,895,83,True,True,True,9,10,37,46
ehhMvavT6IT2p5,low,self,uneven,11.0,3,5,3187,3231,1027.0,89.0,1027.0,89.0,15,933,89,True,True,True,3,12,5,84
eoMZxUK4khXpzf,low,self,even,2.0,4,4,3238,3100,1037.0,27.0,1037.0,27.0,4,933,27,True,True,True,2,2,2,25
eySzqtn656jetd,high,full,even,1.0,4,4,1166,1379,894.5,81.0,1764.0,162.0,24,888,98,True,True,True,13,11,61,37
f6Lw9cmXJxY5o9,high,full,even,10.0,4,4,1201,686,974.5,18.0,1924.0,36.0,2,1023,18,True,False,True,0,2,0,18
fDAlORuC7CcToO,high,self,uneven,1.0,5,3,869,267,1087.0,6.0,2104.0,12.0,1,1160,6,True,True,False,1,0,6,0
fTeRNTUSx26CsC,high,self,even,15.0,4,4,787,819,1004.5,0.0,1963.0,0.0,0,1013,0,False,False,False,0,0,0,0
fUNmskwebiBzHu,low,self,even,0.0,4,4,3305,3337,978.0,217.0,978.0,217.0,38,914,218,True,True,True,19,19,115,103
g6Upbjw9ndtUvW,low,full,even,9.0,4,4,2934,3175,1060.0,83.0,1060.0,83.0,17,986,83,True,True,True,8,9,34,49
g9RbB9CKARlXqZ,low,self,uneven,9.0,3,5,2629,3213,1106.0,37.0,1106.0,37.0,7,1035,37,True,True,True,2,5,9,28
gA6I24mQCRlplv,high,full,uneven,14.0,3,5,342,1148,1034.0,12.0,2018.0,24.0,2,1080,12,True,True,False,2,0,12,0
gLJ5JQY3k3NKso,low,self,uneven,10.0,3,5,3173,3366,1020.0,184.0,1020.0,184.0,43,900,184,True,True,True,18,25,95,89
gTRM2td1f8g75y,low,self,uneven,0.0,5,3,2463,2451,1299.0,19.0,1299.0,19.0,3,1179,19,True,True,True,2,1,12,7
ge72bi8WT37W4P,low,full,even,8.0,4,4,3185,3545,960.0,189.0,960.0,189.0,42,890,189,True,True,True,21,21,104,85
