session,subjid,gameNum,turnCount,agent,objectLayer,costCond,visibilityCond,resourceCond,redFirst,meFirst,counterbalance,ownBPsize,step_other_expense,step_expense,energy_expense,other_expense,energy,score,points,pointsCumulative,helping_event,steps,helpful_steps,helped,purpleHelped,redHelped,purpleHelpingEvents,redHelpingEvents,purpleHelpfulSteps,redHelpfulSteps,partner_helped_thisgame,partner_helpingevents_thisgame,partner_helpfulsteps_thisgame,player_helped_lastgame,partner_helped_lastgame,player_helpingevents_lastgame,partner_helpingevents_lastgame,player_helpfulsteps_lastgame,partner_helpfulsteps_lastgame,environment,nRedVeg,nPurpVeg,patchUniformity,nPatches,patchSize,nOwnVeg,nOtherVeg
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3purple,1,12,purple,Items08,low,self,uneven,False,True,14.0,3,0.0,46.0,46.0,0.0,54,5,270,291,0,43,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,9,3,5,True,2,"5,3",5,3
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3red,1,12,red,Items08,low,self,uneven,False,False,14.0,5,0.0,32.0,32.0,0.0,68,3,204,421,0,24,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,9,3,5,True,2,"5,3",3,5
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3purple,2,12,purple,Items03,low,self,uneven,False,True,14.0,3,0.0,48.0,48.0,0.0,52,5,260,536,0,45,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,4,3,5,True,2,"3,5",5,3
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3red,2,12,red,Items03,low,self,uneven,False,False,14.0,5,0.0,32.0,32.0,0.0,68,3,204,625,0,24,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,4,3,5,True,2,"3,5",3,5
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3purple,3,10,purple,Items09,low,self,uneven,True,False,14.0,3,0.0,27.0,27.0,0.0,73,3,219,740,0,24,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,10,5,3,True,2,"3,5",3,5
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3red,3,10,red,Items09,low,self,uneven,True,True,14.0,5,0.0,26.0,26.0,0.0,74,5,370,995,0,26,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,10,5,3,True,2,"3,5",5,3
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3purple,4,19,purple,Items10,low,self,uneven,True,False,14.0,3,0.0,72.0,72.0,0.0,28,7,196,936,0,66,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,11,7,7,True,5,"3,2,2,2,2,3",7,7
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3red,4,19,red,Items10,low,self,uneven,True,True,14.0,5,0.0,55.0,55.0,0.0,45,7,315,1295,0,49,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,11,7,7,True,5,"3,2,2,2,2,3",7,7
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3purple,5,11,purple,Items06,low,self,uneven,True,False,14.0,3,0.0,46.0,46.0,0.0,54,4,216,1131,0,43,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,7,4,4,True,2,"4,4",4,4
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3red,5,11,red,Items06,low,self,uneven,True,True,14.0,5,0.0,29.0,29.0,0.0,71,4,284,1579,0,26,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,7,4,4,True,2,"4,4",4,4
4jqu3Fu3bRJBW3,4jqu3Fu3bRJBW3purple,6,18,purple,Items04,low,self,uneven,False,True,14.0,3,0.0,57.0,57.0,0.0,36,7,252,1371,0,58,0,False,False,False,0,0,0,0,False,0,0,False,False,0.0,0.0,0.0,0.0,5,7,7,True,5,"3,2,2,2,2,3",7,7
